pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_name,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,spin_axis_sin,spin_axis_cos
CH,86.6,-2.23,4.53,661527,14.0,L,R,-0.98,-0.22,1.1,0.58,10.222830797478371,-125.66989405149934,-2.744139256203713,-12.559217243566572,26.79779080527625,-34.08211699781702,3.07,1.45,88.5,1902.0,7.8,52.74,Changeup,255.0,3.29,0.98,-0.98,14.2,-0.9659258262890683,-0.25881904510252063
CH,87.7,0.75,6.1,593974,5.0,R,L,1.59,0.07,0.15,2.0,-4.701200068782612,-127.51221212432392,-3.816405389151101,18.3017735781995,30.254796829952827,-30.741382169800563,3.11,1.35,86.6,2187.0,6.0,54.53,Changeup,133.0,2.94,1.59,-1.59,43.3,0.7313537016191706,-0.6819983600624984
FF,95.8,-1.98,5.94,805673,5.0,R,R,-0.5,1.33,0.21,2.96,6.94140098519269,-139.32546270549207,-5.331902085517545,-7.998268889538343,29.95739947422112,-13.788790832374136,3.61,1.68,96.5,2244.0,6.6,53.87,4-Seam Fastball,217.0,1.15,0.5,0.5,38.2,-0.6018150231520484,-0.7986355100472928
SI,97.5,-2.3,5.46,642528,13.0,R,R,-1.49,0.34,-1.45,1.98,5.721670684538184,-141.8368996476225,-4.6025415497923845,-21.38681644862574,34.03773416552816,-26.713315900611413,3.53,1.55,97.7,2229.0,6.5,53.99,Sinker,227.0,2.07,1.49,1.49,41.2,-0.7313537016191703,-0.6819983600624986
SI,97.1,-2.89,5.95,668909,9.0,R,R,-1.21,0.92,0.39,1.77,11.731156083031454,-140.80544047221045,-7.850821832201842,-18.732536681191483,30.432838156320912,-18.27027115721679,3.19,1.48,98.5,2043.0,7.2,53.33,Sinker,231.0,1.51,1.21,1.21,30.3,-0.7771459614569706,-0.6293203910498378
CU,82.7,1.46,5.72,669022,8.0,R,L,-0.37,-1.18,-0.2,1.48,-3.0860507437083444,-120.30520997783074,-0.7908960857451673,-2.8810213389890413,26.06704593343781,-43.62732700212208,3.41,1.59,83.2,2427.0,6.9,53.57,Curveball,344.0,4.55,-0.37,0.37,51.7,-0.27563735581699894,0.9612616959383189
ST,82.7,-3.27,5.53,657097,4.0,L,R,1.39,-0.8,-0.28,2.73,4.072828190621988,-120.2124947737726,1.8127119559878515,12.386778567174296,27.48847165738028,-40.54492865225932,3.65,1.68,81.9,2620.0,6.2,54.3,Sweeper,35.0,4.19,-1.39,1.39,32.2,0.573576436351046,0.8191520442889918
FF,95.6,-2.62,5.26,543135,11.0,R,R,-1.12,0.94,-0.95,2.55,6.95221157666144,-139.02538896977896,-3.636896660588477,-16.056357715634984,30.755279523099965,-19.4188938655194,3.24,1.53,96.0,2220.0,6.5,54.0,4-Seam Fastball,230.0,1.56,1.12,1.12,26.7,-0.7660444431189779,-0.6427876096865395
ST,83.0,-1.88,6.63,601713,3.0,R,R,1.27,0.5,0.82,3.33,3.704868420920465,-120.85253588088658,-2.081986376431906,11.770444379740772,23.500557908740227,-27.054789047464777,3.58,1.66,83.9,2439.0,6.8,53.68,Sweeper,83.0,2.8,-1.27,-1.27,52.1,0.992546151641322,0.12186934340514749
SI,93.0,-2.45,5.32,676106,13.0,L,R,-1.72,0.58,-1.07,2.5,7.252085367755676,-135.20952257966476,-2.660972664301574,-22.66040415587598,32.32254118715393,-24.75279576236093,3.6,1.68,92.1,2458.0,6.0,54.47,Sinker,240.0,2.09,1.72,-1.72,15.6,-0.8660254037844384,-0.5000000000000004
