pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_name,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,spin_axis_sin,spin_axis_cos
FF,95.3,-1.69,6.65,601713,11.0,R,R,-0.8,1.57,-0.89,2.68,3.961585173082904,-138.4571299445752,-8.307229375704182,-11.185186085747777,34.51845870472985,-10.316504821085204,3.4,1.64,95.7,2451.0,6.9,53.61,4-Seam Fastball,202.0,0.97,0.8,0.8,51.3,-0.374606593415912,-0.9271838545667874
ST,80.7,2.14,5.37,641302,4.0,L,L,-1.12,0.18,-0.35,2.22,-3.4277775411465665,-117.48367590636708,-0.6740775400164982,-9.640615292222348,23.014712739527408,-30.57021531744772,3.37,1.57,81.0,2447.0,6.5,53.98,Sweeper,276.0,3.32,-1.12,-1.12,31.0,-0.9945218953682734,0.10452846326765299
FF,96.0,-2.01,5.71,694813,12.0,L,R,-0.64,1.46,0.43,3.88,7.945472578228983,-139.53022167527064,-2.518498145954892,-10.196808752273792,32.394299416247435,-12.762253436805633,3.41,1.68,96.4,2266.0,6.7,53.83,4-Seam Fastball,217.0,1.03,0.64,-0.64,49.0,-0.6018150231520484,-0.7986355100472928
SL,85.9,-1.19,5.84,684320,14.0,R,R,0.88,-0.13,0.58,0.89,2.4067743156088124,-124.9551722107014,-5.08258835466295,8.511752846257306,29.353760961733567,-32.61288011813554,3.53,1.7,85.2,2827.0,6.2,54.3,Slider,54.0,3.27,-0.88,-0.88,41.4,0.8090169943749475,0.5877852522924731
SI,92.3,3.26,5.53,664849,6.0,R,L,1.76,0.47,0.61,2.7,-10.496895533876463,-133.88377097909603,-2.280140195489907,23.48975189204792,33.30100870745494,-26.24211050018284,3.7,1.75,91.0,2423.0,6.0,54.46,Sinker,120.0,2.26,1.76,-1.76,20.3,0.8660254037844387,-0.49999999999999983
SL,86.6,-2.54,6.09,680732,8.0,R,R,0.43,0.28,0.21,1.92,5.786264328330277,-125.9770826827166,-4.369821972584981,3.339358956154113,25.90339607668376,-28.449252322260204,3.67,1.71,87.9,2396.0,7.1,53.35,Slider,168.0,2.76,-0.43,-0.43,37.2,0.20791169081775931,-0.9781476007338057
FC,86.3,-1.82,6.51,592836,2.0,L,R,0.22,0.91,0.16,3.07,4.237446057490844,-125.77283146280055,-3.896286529657538,1.686278203392595,21.44115947540564,-21.952485902805453,3.19,1.47,86.3,2345.0,5.9,54.64,Cutter,197.0,2.11,-0.22,0.22,38.8,-0.29237170472273677,-0.9563047559630354
SI,94.0,-1.66,6.01,605347,11.0,R,R,-1.54,0.42,-1.26,2.52,4.461875091825038,-136.862049400498,-4.316468165874577,-20.40486717615964,28.29716661046482,-26.211358412257688,3.32,1.51,94.5,1716.0,6.4,54.08,Sinker,228.0,2.15,1.54,1.54,42.4,-0.7431448254773944,-0.6691306063588581
CH,87.8,-2.89,5.73,681857,14.0,R,R,-1.07,0.33,0.2,0.17,9.549435231623168,-127.29786005502623,-7.897037812515066,-13.578035863211737,25.454696116612872,-27.161412245423517,3.32,1.55,86.8,1612.0,5.8,54.73,Changeup,246.0,2.65,1.07,1.07,31.3,-0.913545457642601,-0.4067366430758001
FF,97.8,-1.26,5.95,689147,11.0,L,R,-0.79,1.37,-0.72,3.78,3.27577909295317,-142.30632296512192,-3.444472329206367,-11.540676134912996,37.46575745666489,-13.05619486473265,3.55,1.65,97.2,2297.0,6.3,54.24,4-Seam Fastball,220.0,1.04,0.79,-0.79,37.1,-0.6427876096865393,-0.766044443118978
FF,98.2,-2.02,5.34,622554,7.0,R,R,-0.41,1.19,-0.43,1.6,5.286800627753216,-142.86166822080685,-7.425702266568672,-6.868963560959613,32.40994614554726,-14.3200851057254,3.52,1.57,98.5,2407.0,6.5,54.04,4-Seam Fastball,212.0,1.17,0.41,0.41,30.7,-0.5299192642332048,-0.8480480961564261
ST,80.4,-2.96,3.94,670167,14.0,R,R,0.95,-0.43,1.13,1.53,7.250404282587436,-116.73849284207644,2.276242391761449,7.070670673180312,24.40685715289474,-36.84925651221046,3.39,1.56,80.0,2422.0,6.4,54.09,Sweeper,61.0,4.01,-0.95,-0.95,3.2,0.8746197071393957,0.4848096202463371
SL,85.1,1.41,6.05,663776,13.0,R,L,-0.67,0.13,-0.42,1.09,-2.9404186834573784,-123.88799631613657,-5.591248021826422,-6.299730343207492,24.49252661617792,-29.92415690044928,3.1,1.42,84.9,2442.0,6.1,54.4,Slider,226.0,3.01,-0.67,0.67,53.7,-0.7193398003386512,-0.6946583704589973
FF,96.6,-1.26,5.92,684320,5.0,R,R,-0.48,1.34,-0.09,2.6,4.201543345922825,-140.5702902175391,-6.304078699999984,-7.311958245241645,33.52218914453884,-13.134303719011546,3.36,1.58,96.4,2493.0,6.3,54.19,4-Seam Fastball,215.0,1.11,0.48,0.48,39.3,-0.5735764363510462,-0.8191520442889918
CU,80.2,-0.64,6.24,676508,2.0,L,R,0.92,-0.7,0.17,3.39,0.0504165423783329,-116.80203627919389,1.671301143018035,8.438541723617238,21.41494572971774,-39.11196062449271,3.42,1.54,79.7,2892.0,5.9,54.64,Curveball,39.0,4.23,-0.92,0.92,51.9,0.6293203910498374,0.7771459614569709
FF,91.6,1.18,5.93,663559,4.0,R,L,0.2,1.53,-0.73,2.99,-5.37731728913419,-133.29629926911383,-4.964593164354602,3.560291628217995,28.57342453900445,-13.00981077223682,3.64,1.74,93.5,2077.0,7.4,53.07,4-Seam Fastball,171.0,1.18,0.2,-0.2,57.7,0.15643446504023098,-0.9876883405951377
FC,91.0,-2.4,5.18,623437,9.0,L,R,-0.11,0.29,0.77,1.94,8.090146530529976,-132.33049378598497,-2.8622292609513926,-2.878305514666111,25.90029444350603,-28.304971262691097,3.51,1.73,90.3,2220.0,5.7,54.77,Cutter,233.0,2.44,0.11,-0.11,14.7,-0.7986355100472928,-0.6018150231520483
FC,90.3,-2.38,5.7,642701,6.0,R,R,0.16,0.98,0.75,2.18,7.433088436602649,-131.30874129924433,-4.880544341972876,0.2538366463445935,27.31629807780973,-19.949194298412365,3.22,1.44,90.1,2581.0,6.2,54.33,Cutter,213.0,1.81,-0.16,-0.16,37.6,-0.5446390350150271,-0.838670567945424
CU,75.5,-1.76,6.32,665152,11.0,R,R,0.85,-1.45,-0.75,3.46,0.5822886408791765,-109.8223420785942,3.774416051415335,6.72716726896585,21.71253321062047,-44.776157102630286,3.3,1.58,74.6,2837.0,5.9,54.63,Curveball,33.0,5.49,-0.85,-0.85,46.6,0.5446390350150271,0.838670567945424
FC,81.5,3.47,4.9,642232,12.0,L,L,-0.03,0.76,1.51,2.67,-4.312272711034313,-118.4994522892325,0.2936290404342492,0.7814144112031481,28.382866418007943,-25.49913481298345,3.13,1.56,80.2,2048.0,6.1,54.44,Cutter,150.0,2.75,-0.03,-0.03,10.9,0.49999999999999994,-0.8660254037844387
SI,97.3,-2.47,5.88,641656,1.0,R,R,-1.39,0.76,-0.52,3.2,8.330722996019176,-141.49350502907654,-3.365896146523169,-20.608780216770068,31.915934848376917,-21.376936478035148,3.37,1.53,96.3,2017.0,5.8,54.75,Sinker,224.0,1.65,1.39,1.39,36.0,-0.6946583704589974,-0.7193398003386511
CU,85.1,-1.21,6.16,667755,11.0,R,R,0.85,-0.76,-1.05,3.7,-1.327372717005872,-123.94458236645109,2.109292438847395,9.05344968610258,25.482931175815462,-40.68884329511609,3.52,1.62,85.4,2194.0,6.5,53.99,Knuckle Curve,28.0,3.91,-0.85,-0.85,39.2,0.4694715627858908,0.882947592858927
FF,94.7,-2.16,5.76,674370,14.0,R,R,-1.04,1.56,1.41,1.96,11.676678188395623,-137.2833411330889,-7.680754896268929,-15.792854031686224,31.354479525008895,-10.874972099037503,3.41,1.54,94.7,2380.0,6.6,53.91,4-Seam Fastball,219.0,1.01,1.04,1.04,40.2,-0.6293203910498376,-0.7771459614569708
CH,87.7,-1.62,4.8,657277,8.0,R,R,-0.98,-0.48,-0.01,1.58,5.975385993489028,-127.63034334902711,-0.6406672801450467,-11.904449776695053,27.1980719307758,-37.4487871599941,3.33,1.59,88.6,1546.0,6.9,53.55,Changeup,265.0,3.45,0.98,0.98,21.2,-0.9961946980917455,-0.08715574274765825
FF,97.8,-2.29,5.68,656629,5.0,L,R,-0.64,1.43,0.24,2.13,8.371967975818054,-142.02018736733245,-7.447753160490771,-10.60996527639424,31.930043675628127,-11.231708691608706,3.08,1.37,98.6,2612.0,6.8,53.69,4-Seam Fastball,214.0,0.96,0.64,-0.64,44.1,-0.5591929034707467,-0.8290375725550418
CU,80.5,1.18,6.26,666214,7.0,L,L,-0.57,-0.68,-0.29,1.96,-2.1959084553703083,-117.28989815898306,-1.572443741630556,-4.813895337729124,22.830039847108768,-38.38300394056138,3.26,1.42,80.7,2689.0,6.4,54.1,Curveball,317.0,4.2,-0.57,-0.57,50.9,-0.6819983600624984,0.7313537016191707
FF,98.9,-1.8,5.95,667755,2.0,R,R,-0.97,1.23,0.17,3.01,7.612745753537402,-143.77435581478707,-5.406927698631527,-15.274227487588297,35.830768233300084,-14.074085380165547,3.31,1.56,98.6,2214.0,6.3,54.16,4-Seam Fastball,239.0,1.12,0.97,0.97,27.5,-0.8571673007021121,-0.5150380749100544
FC,87.6,-1.51,5.65,641941,14.0,R,R,0.32,0.3,1.43,2.21,6.5327484120219,-127.46009397979456,-2.8306108159579417,2.1708555218213883,25.74794788262266,-28.57976129164921,3.4,1.67,88.8,2523.0,7.0,53.49,Cutter,159.0,2.67,-0.32,-0.32,44.1,0.3583679495453002,-0.9335804264972017
CH,80.6,3.13,5.67,621389,14.0,R,L,1.11,-0.07,0.25,1.03,-8.305178217549129,-117.23203806535923,-3.527201312092453,11.75251824783415,19.826412605557817,-32.386847856043936,3.5,1.67,79.2,2083.0,5.1,55.42,Changeup,89.0,3.55,1.11,-1.11,17.0,0.9998476951563913,0.0174524064372836
FC,88.6,-1.79,5.89,665871,7.0,R,R,0.35,0.6,-0.38,1.82,2.7266446339861807,-129.05733825403271,-5.190567473423249,3.446797944776305,24.893881041085557,-24.650476632569656,3.5,1.66,89.3,2063.0,6.5,54.01,Cutter,187.0,2.28,-0.35,-0.35,50.4,-0.12186934340514731,-0.9925461516413221
CU,77.0,2.92,5.41,571760,2.0,R,L,-0.65,-0.44,-0.18,3.09,-5.38151121217745,-111.8799191273149,2.993318404393712,-4.184371164035829,24.13439417833221,-36.71851257016159,3.38,1.6,75.9,2631.0,6.0,54.5,Curveball,312.0,4.36,-0.65,0.65,37.8,-0.7431448254773946,0.6691306063588578
FC,92.7,-1.22,6.48,663546,12.0,L,R,-0.58,0.76,1.76,2.89,9.039834228436115,-134.65603518852876,-5.108579803915667,-9.012662570170484,28.955311046831035,-21.97578386578839,3.64,1.67,94.2,2360.0,7.3,53.23,Cutter,222.0,1.9,0.58,-0.58,26.1,-0.6691306063588582,-0.7431448254773942
FF,93.4,1.93,6.25,605177,7.0,L,L,0.65,1.45,-0.57,1.87,-7.903280574884415,-135.6563809975722,-8.758561327007088,9.665927382323249,28.266432426175168,-12.523035084161323,3.16,1.56,94.1,2260.0,6.7,53.81,4-Seam Fastball,141.0,1.16,0.65,0.65,52.3,0.6293203910498374,-0.7771459614569709
FF,96.6,-1.78,5.94,695549,11.0,L,R,-0.49,1.51,-1.22,3.9,2.574702128439608,-140.67690627203504,-3.2857241042346206,-7.101245522073938,32.09773085862896,-11.61598929434748,3.49,1.65,95.8,2505.0,5.8,54.71,4-Seam Fastball,210.0,0.93,0.49,-0.49,47.6,-0.5000000000000001,-0.8660254037844386
CU,83.0,1.86,6.53,605483,13.0,R,L,-1.05,-0.17,-1.11,1.16,-4.764026268461725,-120.71570297413948,-5.466303363654648,-9.268575698290464,25.02029171299459,-32.945795880408554,3.27,1.49,83.6,2590.0,6.8,53.67,Curveball,326.0,3.5,-1.05,1.05,59.7,-0.5591929034707466,0.8290375725550418
FF,93.7,1.87,6.34,608650,13.0,R,L,0.5,1.38,-0.28,1.43,-6.669706788862318,-136.1252748406687,-10.029692978446445,7.593903774929662,27.10929047503249,-13.089010481543015,3.46,1.77,94.2,2152.0,6.5,54.03,4-Seam Fastball,150.0,1.21,0.5,-0.5,46.5,0.49999999999999994,-0.8660254037844387
SI,92.8,-1.12,6.54,615698,4.0,R,R,-1.27,1.26,-0.78,2.64,3.6509313223340527,-134.92266152579364,-6.919745424412265,-16.266177365713098,31.036607910240924,-15.487772991268113,3.53,1.67,92.8,2018.0,6.4,54.06,Sinker,213.0,1.41,1.27,1.27,48.5,-0.5446390350150271,-0.838670567945424
FC,88.1,-1.68,5.65,518585,13.0,L,R,0.4,0.38,-0.08,1.22,3.0860736972158507,-128.47803693072305,-5.708982068648528,4.050828124345505,18.9719760653464,-27.169394826539,3.27,1.42,90.3,2511.0,6.9,53.6,Cutter,196.0,2.48,-0.4,0.4,36.4,-0.275637355816999,-0.9612616959383189
FF,91.4,-2.31,5.65,628317,1.0,R,R,-0.4,1.06,-0.29,3.51,5.922814321664493,-133.10959238399445,-1.873939135679328,-5.931929197389822,24.576506201138265,-19.30385003512284,3.42,1.59,91.3,2192.0,5.9,54.61,4-Seam Fastball,220.0,1.64,0.4,0.4,42.9,-0.6427876096865393,-0.766044443118978
FS,81.2,-2.07,6.08,518585,14.0,R,R,-0.64,0.38,1.3,2.59,8.907600759813894,-117.95400874529874,-1.915512932606521,-7.723268538445207,22.605630771457943,-28.428193951045948,3.55,1.78,82.4,959.0,7.2,53.31,Split-Finger,221.0,3.09,0.64,0.64,49.7,-0.656059028990507,-0.7547095802227721
CU,74.4,-2.71,5.83,543294,9.0,R,R,1.14,-0.86,0.68,2.07,4.881223543686363,-108.12494585203864,1.1107385566354326,7.833539636484018,21.760427513560813,-39.3439038162984,3.56,1.63,72.6,2931.0,5.4,55.12,Curveball,43.0,5.04,-1.14,-1.14,44.7,0.6819983600624985,0.7313537016191705
SL,86.6,-0.95,5.72,663878,5.0,L,R,0.63,0.05,0.22,2.79,1.5195864060660231,-126.25372273465004,-0.9645943134740612,6.5074268732097,23.24267253496124,-31.70426940292577,3.45,1.67,87.6,2369.0,6.6,53.92,Slider,120.0,2.96,-0.63,0.63,38.4,0.8660254037844387,-0.49999999999999983
FC,91.9,-1.47,5.09,664208,14.0,L,R,0.17,1.17,1.77,1.55,7.982316456207211,-133.6137026069964,-5.838449161728962,0.5544901885932709,24.831931880689204,-17.050188167006922,3.08,1.46,94.1,2644.0,7.3,53.19,Cutter,201.0,1.5,-0.17,0.17,29.0,-0.35836794954530043,-0.9335804264972016
SI,86.6,-2.62,6.09,543294,12.0,L,R,-1.15,0.61,1.03,3.47,11.010602880595115,-125.70823468719264,-1.3079410102205309,-14.344975514012392,23.736803145640764,-25.657344031579477,3.36,1.67,86.5,2037.0,6.2,54.27,Sinker,207.0,2.43,1.15,-1.15,46.4,-0.4539904997395467,-0.8910065241883679
FS,88.8,-2.5,4.87,657746,14.0,L,R,-1.23,0.09,0.81,1.3,10.80194900208996,-128.91801702158062,-2.929632070915916,-15.898147821449356,24.817222726128023,-30.76910347469048,3.16,1.48,90.0,2124.0,7.0,53.52,Split-Finger,246.0,2.8,1.23,-1.23,31.5,-0.913545457642601,-0.4067366430758001
SI,95.9,-3.5,5.11,682989,13.0,L,R,-1.74,0.37,-1.75,2.42,8.559454817925218,-139.39215017893235,-2.336745746580836,-24.606485099419334,32.17841428749705,-26.988130145318717,3.54,1.62,95.9,2382.0,6.4,54.11,Sinker,245.0,2.12,1.74,-1.74,16.9,-0.90630778703665,-0.42261826174069916
FC,87.7,-1.07,5.27,573186,11.0,L,R,0.24,0.32,-0.07,3.53,1.9173772407583267,-127.5973439032035,1.284008941710908,2.108581254317712,29.21456764375123,-29.186884140706223,3.28,1.59,86.1,2491.0,5.6,54.95,Cutter,156.0,2.67,-0.24,0.24,27.9,0.40673664307580043,-0.9135454576426008
SL,86.3,-1.76,5.69,552640,8.0,L,R,0.56,-0.18,-0.08,1.59,2.899112698310444,-125.68591047190976,-3.2020952698667737,5.378230662211379,23.99277288084394,-33.70347217765299,3.07,1.53,87.2,2450.0,6.7,53.79,Slider,102.0,3.22,-0.56,0.56,42.8,0.9781476007338057,-0.20791169081775934
SL,84.1,2.05,5.92,669020,9.0,L,L,-0.18,-0.46,0.68,2.05,-2.831159777679925,-122.42107532363232,-1.610682879936659,-1.2035574117466523,26.995442065429987,-36.62557916194533,3.4,1.49,84.0,2648.0,6.5,54.05,Slider,298.0,3.71,-0.18,-0.18,42.0,-0.8829475928589271,0.4694715627858904
FF,94.6,-2.34,5.49,680570,4.0,L,R,-1.27,1.48,-0.46,2.45,7.867601497938601,-137.35574178395007,-5.527102088576275,-17.899270439661095,34.267458379344184,-12.489768412371015,3.52,1.62,95.5,2217.0,7.2,53.3,4-Seam Fastball,222.0,1.11,1.27,-1.27,36.8,-0.6691306063588582,-0.7431448254773942
FF,95.1,-1.57,6.07,700669,11.0,R,R,-0.49,1.36,-0.92,3.15,2.823370330629175,-138.4591961066774,-5.061380185047158,-6.891269598132194,31.31461114550309,-13.75838245048056,3.3,1.53,95.4,2178.0,6.4,54.06,4-Seam Fastball,203.0,1.16,0.49,0.49,49.9,-0.39073112848927355,-0.9205048534524404
SL,87.0,-2.5,4.86,622491,14.0,R,R,-0.14,0.16,2.24,1.28,11.444283834782304,-126.29357097700152,-2.694792628945525,-3.802632348517895,25.823320872011735,-30.07835856408335,3.43,1.52,85.6,2398.0,5.6,54.95,Slider,323.0,2.87,0.14,0.14,16.8,-0.6018150231520483,0.7986355100472928
CU,81.0,-2.67,5.46,450203,5.0,L,R,1.18,-0.76,-0.03,2.36,3.631593414079164,-117.94250216310684,1.1759663121940451,10.27817098198335,23.70101308545325,-39.72500411037461,3.43,1.56,80.5,3027.0,6.1,54.44,Curveball,58.0,4.25,-1.18,1.18,19.3,0.848048096156426,0.5299192642332049
CU,84.9,-0.73,6.11,686580,8.0,R,R,0.46,-1.53,0.21,1.84,1.29589881226977,-123.53830263741598,-0.4960138811589494,4.347551328674223,28.11230760934672,-47.79609776923347,3.49,1.51,85.0,2801.0,6.7,53.84,Curveball,18.0,4.73,-0.46,-0.46,53.7,0.3090169943749474,0.9510565162951535
SI,96.9,-2.07,5.79,682825,11.0,R,R,-1.16,0.45,-1.29,2.94,4.723116864700879,-140.86020914185315,-3.000967276795936,-16.496733724797707,37.08806045055336,-25.698145101730876,3.51,1.53,96.3,2252.0,6.4,54.15,Sinker,215.0,2.01,1.16,1.16,33.6,-0.5735764363510462,-0.8191520442889918
CU,82.5,-0.97,5.72,669302,14.0,R,R,1.38,-0.47,2.12,1.43,4.420364421749366,-119.9245143197072,-2.216315413585922,12.08148931197574,28.226893381467512,-36.35374324579541,3.39,1.54,83.4,2498.0,7.4,53.07,Curveball,40.0,3.89,-1.38,-1.38,39.4,0.6427876096865393,0.766044443118978
FC,87.8,-2.3,5.75,621107,6.0,R,R,-0.1,0.77,0.42,2.64,6.797825806962564,-127.78550927446024,-3.060785670554222,-2.355272576358245,24.324809332982632,-23.23634413501121,3.71,1.64,88.4,2167.0,6.5,54.03,Cutter,207.0,2.16,0.1,0.1,25.0,-0.4539904997395467,-0.8910065241883679
CU,77.4,-0.82,6.54,650644,5.0,L,R,1.11,-1.33,0.21,2.36,0.1823237049792812,-112.6299806950049,0.5071373441846794,9.318250655835737,23.744524170642183,-43.68260291919395,3.08,1.47,75.6,3144.0,5.3,55.19,Curveball,49.0,5.18,-1.11,1.11,49.1,0.754709580222772,0.6560590289905073
SI,90.0,2.22,5.59,500779,12.0,R,L,1.37,0.75,1.43,2.62,-4.896649284529595,-130.8684899277427,-2.897978751630656,16.70728933003532,33.541281280699714,-23.15447743842632,3.49,1.66,89.5,2052.0,6.5,54.0,Sinker,154.0,2.11,1.37,-1.37,39.3,0.4383711467890773,-0.898794046299167
FF,91.3,2.16,5.67,500779,11.0,R,L,0.51,1.38,-0.35,3.31,-7.436035892609577,-132.7542248797062,-3.0421207288890253,7.586125622108167,27.298800429779824,-15.381189542986425,3.12,1.46,91.8,2162.0,6.5,53.98,4-Seam Fastball,150.0,1.35,0.51,-0.51,44.0,0.49999999999999994,-0.8660254037844387
CU,79.4,1.04,6.07,593958,13.0,L,L,-0.74,-0.53,-0.88,1.95,-2.835510768094303,-115.63085914285408,-1.2237760318008388,-5.9926964051505305,23.183748202453344,-36.91596784679288,3.25,1.56,79.2,2384.0,6.3,54.25,Curveball,294.0,4.17,-0.74,-0.74,45.6,-0.9135454576426011,0.40673664307579976
FF,93.2,-0.74,6.14,641793,11.0,L,R,-0.4,1.32,-1.34,3.28,-0.6332380051124109,-135.6879578055938,-4.4542424087523615,-4.8349037781592346,29.463144676857777,-15.13872998427468,3.35,1.7,92.9,2163.0,6.1,54.42,4-Seam Fastball,209.0,1.3,0.4,-0.4,41.0,-0.48480962024633695,-0.8746197071393959
ST,84.5,-2.88,6.24,595014,6.0,L,R,1.51,-0.09,0.32,2.06,4.400390278290416,-123.04284694051684,-3.1804159354313617,14.48563610027748,24.671857973939296,-32.62713240345373,3.3,1.49,83.7,2564.0,5.8,54.72,Sweeper,52.0,3.28,-1.51,1.51,32.7,0.788010753606722,0.6156614753256583
SI,94.8,1.95,5.71,669432,5.0,R,L,1.38,0.49,0.09,2.74,-8.021510316668959,-137.8125291085346,-3.1799682136197465,19.45174630990459,32.26825966776187,-25.406482878091875,3.49,1.61,95.2,2351.0,6.7,53.78,Sinker,126.0,2.06,1.38,-1.38,22.7,0.8090169943749475,-0.587785252292473
SI,95.1,-2.15,6.02,660787,14.0,R,R,-1.51,0.65,0.85,1.26,11.273697013824108,-137.85106649770512,-8.304816902723697,-21.723768211730857,28.687143324122346,-22.198401641966708,3.53,1.67,95.4,2056.0,6.6,53.94,Sinker,234.0,1.88,1.51,1.51,29.4,-0.8090169943749473,-0.5877852522924732
SI,93.3,-1.85,5.72,621244,6.0,L,R,-1.3,1.05,0.4,2.72,8.653358036110669,-135.5717204060319,-4.220016363736146,-17.945095852231283,31.78552589770903,-18.47925793911188,3.59,1.68,93.1,2074.0,6.4,54.07,Sinker,226.0,1.59,1.3,-1.3,41.3,-0.7193398003386512,-0.6946583704589973
ST,84.6,-2.9,6.16,595014,14.0,R,R,1.2,0.27,1.05,1.28,6.772062881366623,-123.08437599636008,-5.583228357794595,10.984929913774533,22.866037570219625,-28.53895536474599,3.55,1.7,84.1,2562.0,5.9,54.65,Sweeper,53.0,2.9,-1.2,-1.2,31.2,0.7986355100472928,0.6018150231520483
CU,81.9,-1.23,6.16,671737,5.0,R,R,0.38,-1.35,-0.13,2.1,1.768698207764276,-119.21305794646447,0.1223085203691007,3.171494138443597,27.437835383587363,-45.10123152313843,3.24,1.49,81.6,2665.0,6.5,54.01,Curveball,19.0,4.8,-0.38,-0.38,55.1,0.3255681544571567,0.9455185755993168
FC,87.2,-2.06,5.94,665152,4.0,L,R,0.24,0.42,-0.29,2.4,3.7537608691277735,-126.99558760532813,-3.244081836324205,1.7880896436840077,25.656472899158327,-27.144483410107203,3.26,1.5,87.0,2391.0,6.1,54.4,Cutter,175.0,2.57,-0.24,0.24,40.2,0.0871557427476582,-0.9961946980917455
FC,95.1,-2.27,5.52,689981,12.0,L,R,-0.01,0.67,0.86,2.79,8.235467151465349,-138.37598154646616,-3.0597847653776906,-1.798708144355066,28.9521911406326,-23.115648966271173,3.63,1.76,95.8,2343.0,6.6,53.95,Cutter,217.0,1.84,0.01,-0.01,40.0,-0.6018150231520484,-0.7986355100472928
FF,93.6,-1.97,6.29,683627,13.0,R,R,-0.88,1.4,-0.27,0.67,6.315859739763381,-135.7462349181127,-11.766241243443645,-12.3311989941522,31.62611298448636,-12.420119603162933,3.51,1.88,93.2,2030.0,6.4,54.12,4-Seam Fastball,215.0,1.24,0.88,0.88,48.7,-0.5735764363510462,-0.8191520442889918
FC,92.0,-1.98,5.65,694335,14.0,L,R,0.08,0.59,0.85,1.92,7.039203890007141,-133.7723484681926,-4.904244381859318,-0.6256628900942651,29.89640452353016,-24.252387570506382,3.4,1.53,92.4,2176.0,6.7,53.82,Cutter,196.0,2.12,-0.08,0.08,30.3,-0.275637355816999,-0.9612616959383189
SI,94.9,-2.48,6.1,680732,14.0,R,R,-1.21,0.98,0.95,2.18,11.7580360143642,-137.5418759855057,-6.79606184434303,-17.921477909396874,30.18626450144993,-18.279705114525257,3.49,1.68,95.6,2385.0,6.9,53.6,Sinker,214.0,1.57,1.21,1.21,36.6,-0.5591929034707467,-0.8290375725550418
CU,82.6,2.46,5.68,682120,13.0,R,L,-1.0,0.07,-0.86,1.71,-5.662960011113529,-120.19260716060134,-2.6592495780902192,-8.523069108741035,23.828128255918223,-31.19302284629362,3.39,1.59,83.0,2300.0,6.6,53.88,Curveball,324.0,3.28,-1.0,1.0,33.5,-0.5877852522924734,0.8090169943749473
CH,86.1,-2.33,5.36,641540,9.0,L,R,-1.56,0.64,0.4,1.86,9.746997184636571,-124.95896329589822,-3.381891397499989,-18.31956036783615,24.907941406942463,-24.96051346848045,3.38,1.63,87.0,1798.0,7.0,53.54,Changeup,238.0,2.45,1.56,-1.56,37.1,-0.848048096156426,-0.529919264233205
ST,79.6,4.15,4.37,571948,7.0,R,L,-1.31,0.08,-0.35,1.77,-7.476546036740711,-115.76661897605052,0.917979014986251,-10.368703354897734,21.441916950269057,-31.89072331143246,3.35,1.57,80.2,1984.0,6.7,53.77,Sweeper,300.0,3.52,-1.31,1.31,-4.0,-0.8660254037844386,0.5000000000000001
SI,90.1,-1.86,6.52,592836,14.0,R,R,-1.16,1.1,1.71,0.88,11.319547805456413,-130.47594333057302,-10.365761733662312,-15.543162099991164,25.937983161565477,-17.488755582441218,3.59,1.67,90.1,2066.0,6.5,54.04,Sinker,210.0,1.72,1.16,1.16,41.6,-0.5000000000000001,-0.8660254037844386
FF,92.0,1.96,5.9,669020,1.0,L,L,-0.19,0.87,-0.35,3.25,-5.454792623445341,-134.17789417975857,-2.927098255830154,-1.4758753620493568,21.98168928069204,-21.147181726785437,3.47,1.65,93.3,2330.0,6.4,54.08,4-Seam Fastball,164.0,1.76,-0.19,-0.19,44.8,0.2756373558169992,-0.9612616959383189
FC,92.2,-2.28,6.06,642016,6.0,R,R,0.57,0.68,0.74,2.83,6.389308375970489,-134.0534208394834,-3.79754990367292,5.372775213391598,30.43791026002101,-23.348303221158563,3.41,1.57,91.5,2632.0,6.0,54.45,Cutter,183.0,2.02,-0.57,-0.57,34.9,-0.052335956242943564,-0.9986295347545738
FC,93.1,-1.57,5.15,682847,14.0,L,R,0.12,0.9,1.22,2.34,6.981018751616349,-135.46348897165322,-3.504179963482281,0.0674042881789452,26.87155881393006,-20.512309782614587,3.38,1.61,94.2,2568.0,6.7,53.76,Cutter,212.0,1.71,-0.12,0.12,30.2,-0.5299192642332048,-0.8480480961564261
SI,94.6,-1.18,5.72,668834,14.0,R,R,-1.34,0.52,1.59,1.48,10.27110321899451,-137.30438590417214,-6.56653621876147,-19.212098126445664,29.635329506559295,-24.22768132390277,3.43,1.55,95.2,2407.0,6.7,53.78,Sinker,233.0,2.03,1.34,1.34,26.5,-0.7986355100472928,-0.6018150231520483
FF,95.1,-2.31,5.17,642207,1.0,L,R,-1.12,1.12,-0.65,3.24,6.999616145134742,-138.38300278797877,-1.9404223576039596,-15.929908985455937,31.035615988390884,-17.619206445721424,3.48,1.59,97.0,2397.0,7.4,53.14,4-Seam Fastball,229.0,1.41,1.12,-1.12,25.2,-0.754709580222772,-0.6560590289905073
